user,press-0,release-0,press-1,release-1,press-2,release-2,press-3,release-3,press-4,release-4,press-5,release-5,press-6,release-6,press-7,release-7,press-8,release-8,press-9,release-9,press-10,release-10,press-11,release-11,press-12,release-12
4,0,91,253,289,504,576,856,928,1048,1096,1258,1323,1355,1448,1666,1784,1904,1976,2040,2160,2184,2256,2400,2496,2632,2752
4,0,63,231,303,423,495,706,800,871,943,1087,1159,1255,1344,1655,1750,1847,1918,2015,2135,3791,3886,3910,4006,4126,4238
4,0,51,184,256,424,472,1184,1269,1328,1424,1559,1632,2112,2160,2776,2896,3008,3080,4360,4480,4553,4624,5070,5145,5288,5384
4,0,79,216,303,426,495,688,783,855,951,1070,1136,1256,1327,1752,1872,1992,2063,2487,2583,2727,2775,3055,3151,3680,3783
5,0,72,168,264,336,432,528,600,712,808,832,904,1168,1216,1328,1424,1472,1520,1616,1688,1784,1832,1928,2000,2160,2232
5,0,0,41,185,209,297,418,489,585,657,705,753,967,1017,1129,1225,1297,1345,1465,1561,1649,1697,1769,1865,2047,2114
5,0,0,0,78,127,198,295,366,455,550,672,766,839,886,1064,1165,1191,1238,1310,1430,1503,1574,1622,1742,1855,1974
5,0,48,144,216,288,384,506,552,616,736,856,975,1048,1096,1304,1400,1520,1568,1640,1760,1832,1880,1944,2064,2208,2280
5,0,73,146,360,360,522,568,664,760,880,1000,1088,1207,1251,1400,1496,1520,1592,1688,1776,1848,1896,1992,2112,2232,2328
5,0,96,160,280,352,472,592,640,763,859,968,1064,1136,1184,1280,1376,1424,1497,1560,1680,1759,1829,1899,1991,2137,2231
5,0,96,216,304,376,496,947,1001,1088,1161,1280,1352,1617,1664,1777,1848,1940,2038,2065,2160,2257,2304,2392,2512,2632,2728
5,0,1,54,150,246,318,431,502,598,670,718,790,974,1032,1118,1190,1267,1310,1420,1502,1574,1646,1710,1806,1950,2023
6,0,72,215,303,304,399,615,735,711,759,919,975,1159,1207,1303,1399,1495,1567,1607,1679,1727,1799,1847,1895,2015,2087
6,0,72,192,312,288,408,480,576,736,808,952,1000,1120,1192,1280,1376,1520,1568,1616,1688,1784,1856,1904,1957,2112,2160
6,0,72,216,312,289,384,552,624,688,760,928,1000,1072,1168,1295,1401,1498,1568,1640,1712,1808,1904,1928,2000,2137,2208
6,0,96,236,328,280,376,544,616,688,760,912,980,1064,1136,1237,1352,1424,1472,1544,1608,1680,1752,1824,1910,2016,2112
6,0,72,240,336,312,408,544,616,699,761,905,976,1079,1136,1208,1304,1401,1448,1544,1592,1664,1787,1800,1879,2016,2088
6,0,71,215,311,263,375,543,615,687,807,1728,1800,1968,2039,2135,2231,2327,2376,2415,2487,2583,2655,2703,2775,2943,2991
6,0,80,216,337,288,409,544,617,688,784,1120,1192,1352,1448,1544,1640,1712,1784,1832,1904,1992,2064,2136,2208,2376,2448
6,0,95,277,383,336,432,616,672,808,879,1047,1096,1192,1292,1379,1423,1519,1567,1640,1712,1783,1855,1927,1975,2136,2221
7,0,74,192,265,384,457,617,664,736,809,976,1048,2256,2328,3208,3308,3562,3608,3680,3800,3776,3854,3992,4080,4224,4320
7,0,96,216,288,424,496,688,762,904,976,1088,1184,1640,1711,1800,1898,2136,2207,2256,2376,2400,2472,2536,2609,2727,2848
7,0,72,192,240,376,426,592,664,736,832,952,1040,1088,1162,1280,1352,1568,1642,1656,1776,1824,1897,2304,2376,2512,2608
7,0,72,193,265,376,448,544,616,856,928,1090,1184,1329,1376,1496,1568,1753,1800,1874,1920,2018,2068,2136,2208,2304,2400
7,0,46,192,262,398,446,639,710,782,832,927,1046,1126,1183,1258,1326,1518,1566,1614,1710,1710,1798,1870,1942,2062,2158
7,0,71,192,263,360,431,592,665,712,783,880,976,1280,1401,1498,1598,1712,1762,1840,1895,1896,1967,2352,2447,2559,2656
7,0,48,169,240,384,456,640,713,760,832,904,1000,1168,1264,1642,1712,1856,1904,2112,2208,2376,2473,2474,2544,2640,2736
7,0,71,191,263,383,455,664,736,951,1023,1159,1255,1783,1831,2041,2159,2258,2351,2423,2496,3159,3231,3255,3343,3441,3537
8,0,72,256,328,496,568,712,784,968,1040,1184,1256,1424,1495,1632,1704,1854,1920,2016,2111,2824,2896,2992,3039,3200,3271
8,0,69,210,282,426,498,682,754,755,826,946,1021,1114,1186,1251,1326,1420,1490,1538,1635,1802,1874,1914,1962,2106,2178
8,0,71,215,287,431,527,711,783,784,855,1000,1071,1167,1240,1287,1368,1543,1615,1688,1759,1927,1999,1999,2073,2231,2279
8,0,36,180,251,364,445,628,699,724,771,916,987,1076,1147,1220,1267,1414,1511,1509,1555,1741,1811,1812,1883,2034,2099
8,0,74,448,502,715,784,1016,1088,1184,1256,1424,1499,1618,1664,1776,1848,2016,2088,2208,2304,2440,2512,2539,2608,2800,2848
8,0,72,232,304,472,544,736,808,827,896,1040,1112,1235,1292,1381,1448,1608,1680,1704,1776,1945,2016,2064,2112,2248,2320
8,0,71,208,280,472,519,735,807,824,895,1040,1094,1160,1231,1365,1424,1584,1662,1732,1823,1944,2015,2087,2159,2297,2367
8,0,72,192,264,412,480,668,742,744,808,929,1000,1096,1168,1256,1361,1472,1568,1592,1692,1944,2016,2064,2136,2330,2400
9,0,48,161,256,281,376,777,882,849,920,1040,1112,1160,1304,1328,1424,1488,1536,1632,1704,1849,1968,1920,1992,2089,2184
9,0,120,192,328,280,400,520,640,616,688,822,880,944,1042,1112,1160,1232,1304,1400,1472,1568,1688,1656,1728,1855,1931
9,0,94,166,278,302,398,494,614,590,662,782,854,912,990,1038,1086,1165,1230,1350,1422,1542,1614,1702,1774,1871,1950
9,0,48,168,279,256,375,424,472,592,664,808,885,920,1039,1064,1135,1208,1288,1376,1448,1569,1631,1656,1703,1824,2012
9,0,72,168,288,264,360,448,520,592,666,808,856,904,1024,1072,1145,1232,1304,1377,1448,1592,1688,1640,1736,1848,1920
9,0,93,165,285,286,381,453,574,550,621,757,829,925,997,1093,1165,1261,1309,1397,1469,1613,1709,1685,1757,1877,1949
9,0,71,191,309,281,375,520,639,927,991,1183,1255,1799,1895,1967,2063,2160,2231,2343,2415,2559,2679,2631,2727,2847,2920
9,0,96,192,312,265,384,544,712,664,764,952,1000,1048,1144,1712,1811,1880,1944,2040,2088,2256,2328,2304,2400,2496,2584
10,0,47,184,255,727,776,872,970,1184,1304,1376,1464,1995,2064,2224,2319,2512,2559,2632,2704,2794,2864,2911,2985,2960,3056
10,0,71,184,255,375,447,711,807,967,1111,1087,1208,1327,1375,1600,1680,1799,1871,1991,2111,2207,2271,2319,2415,2392,2463
10,0,72,192,265,376,448,521,596,736,856,928,1040,1136,1208,1400,1472,1544,1616,1656,1736,1915,1916,1920,1992,1944,2040
10,0,48,184,234,400,448,592,664,851,992,944,1088,1141,1208,1777,1824,1920,1968,1969,2040,2080,2157,2225,2320,2297,2392
10,0,72,185,256,378,448,544,616,752,896,872,993,1018,1113,1306,1376,1416,1466,1512,1560,1584,1657,1728,1800,1776,1872
10,0,72,186,256,377,424,520,640,616,712,848,944,1017,1088,1285,1376,1536,1608,1632,1680,1704,1800,1849,1948,1901,2016
10,0,73,192,268,1072,1143,1354,1449,1423,1530,1640,1757,1784,1856,1968,2039,2136,2184,2207,2281,2303,2399,2472,2569,2544,2616
10,0,72,216,264,412,458,568,664,640,760,856,952,1002,1072,1162,1232,1304,1352,1376,1449,1472,1545,1593,1664,1664,1711
11,0,97,192,268,361,432,472,592,568,664,784,856,976,1048,1048,1184,1256,1328,1424,1496,1592,1714,1715,1832,1944,2040
11,0,166,99,231,281,353,471,568,546,639,783,831,1015,1087,1231,1303,1375,1446,1535,1608,1703,1798,1776,1870,1991,2062
11,0,120,97,216,265,345,809,939,881,1002,1161,1232,1496,1592,1771,1795,1881,1920,2016,2089,2194,2283,2256,2356,2448,2546
11,0,72,96,192,242,312,384,456,433,528,928,1024,1304,1352,1472,1544,1617,1712,1808,1880,1968,2088,2064,2160,2280,2376
11,0,97,98,215,289,336,385,480,449,544,640,738,810,903,952,1024,1096,1185,1280,1327,1424,1543,1520,1615,1761,1809
11,0,123,124,232,281,353,424,496,473,569,689,761,944,993,1018,1113,1189,1280,1376,1448,1536,1716,1658,1764,1873,1968
11,0,121,96,232,281,352,352,448,424,520,640,712,760,832,832,905,968,1064,1168,1232,1328,1449,1440,1522,1608,1704
11,0,96,400,472,568,641,737,832,808,928,1016,1112,1222,1280,1328,1452,1496,1616,1704,1776,1900,2016,1968,2064,2184,2280
12,0,70,214,310,406,502,550,614,640,735,928,999,1070,1142,1302,1398,1518,1590,1639,1734,1856,1926,1942,2016,2134,2230
12,0,74,192,288,361,460,592,664,665,736,906,977,1048,1144,1208,1280,1352,1430,1472,1545,1664,1738,1784,1856,1993,2065
12,0,74,192,288,312,408,518,576,592,664,832,928,1002,1072,1218,1304,1328,1400,1450,1521,1712,1784,1812,1904,2016,2112
12,0,72,216,312,360,445,552,627,593,690,887,952,1024,1120,1216,1288,1376,1448,1500,1568,1617,1688,1713,1784,1955,2048
12,0,72,544,640,728,823,872,945,920,1016,1184,1280,1352,1446,1490,1598,1632,1728,1728,1823,1873,1985,1986,2040,2200,2295
12,0,73,214,288,334,406,502,582,583,643,784,878,940,1024,1094,1190,1230,1326,1326,1398,1472,1608,1608,1691,1782,1878
12,0,72,192,289,336,432,496,594,568,616,1024,1125,1592,1688,1761,1853,1932,1992,1992,2064,2136,2209,2232,2306,2448,2535
12,0,69,213,287,325,397,469,578,526,613,782,853,902,1001,1086,1157,1229,1301,1325,1397,1493,1590,1626,1685,1797,1893
13,0,126,232,377,424,543,643,791,873,947,1944,2015,2247,2348,2415,2559,2655,2751,2824,2895,2983,3103,3179,3295,3935,4031
13,0,96,302,509,4333,4453,4549,4717,4813,4933,5045,5142,5237,5360,5382,5549,5645,5759,5782,5901,5949,6095,6142,6262,6998,7095
13,0,116,493,664,1108,1223,1372,1468,1564,1713,1844,1915,2073,2155,2248,2324,2427,2507,2579,2675,2710,2844,2939,3011,3181,3219
13,0,120,267,499,448,595,688,833,904,1035,1184,1256,1426,1499,1568,1688,1768,1848,1905,1999,2073,2136,2920,2996,3153,3200
13,0,121,258,547,472,669,669,767,833,955,1357,1456,1640,1728,1848,1944,2016,2136,2195,2279,2328,2440,2540,2607,2728,2799
13,0,79,247,415,463,583,631,767,874,961,1459,1567,1783,1863,1963,2079,2167,2289,2335,2431,2503,2623,2695,2795,3471,3544
13,0,1,139,330,356,453,593,729,826,935,1090,1189,1310,1421,1491,1610,1706,1825,1873,1969,2033,2156,2201,2299,2491,2585
13,0,120,328,520,555,688,760,883,969,1088,1282,1403,1725,1824,2019,2115,2232,2348,2440,2514,2585,2704,2780,2861,3032,3104
14,0,103,211,301,497,587,851,947,1179,1275,1429,1545,1515,1635,1819,1939,1940,2035,2179,2299,2333,2411,2560,2657,2796,2873
14,0,95,288,380,549,640,925,976,1402,1519,1696,1799,1781,1921,2139,2255,2341,2423,2919,3045,3128,3223,3391,3488,3635,3751
14,0,97,292,390,626,716,1072,1169,1286,1397,1569,1664,1720,1832,2029,2136,2209,2329,2637,2761,2872,2992,3136,3209,3369,3497
14,0,109,246,341,581,677,1023,1113,1413,1509,1669,1765,1813,1933,2462,2606,2677,2765,3038,3124,3165,3261,3429,3538,3669,3760
14,0,96,262,360,524,592,807,903,1024,1125,1263,1351,1399,1495,1639,1709,1825,1923,2063,2187,2256,2355,2511,2607,2776,2879
14,0,1,166,264,432,527,760,829,974,1081,1205,1279,1326,1427,1565,1661,1710,1782,1896,2014,2091,2182,2426,2518,2664,2759
14,0,1,80,175,373,435,699,769,928,1035,1144,1239,1311,1394,2449,2574,2666,2763,2838,2951,2995,3065,3261,3335,3473,3568
14,0,0,7,100,264,359,566,636,781,877,1046,1109,1165,1260,1469,1570,1637,1733,1830,1917,1969,2111,2181,2277,2414,2509
15,0,65,212,262,452,511,607,687,831,898,1007,1062,1106,1176,1231,1298,1439,1511,1671,1767,1935,2009,2130,2199,2319,2419
15,0,50,192,253,411,493,524,603,723,787,909,951,1058,1096,1197,1242,1376,1453,1656,1764,1856,1931,2064,2141,2232,2310
15,0,55,192,240,408,463,544,617,756,808,1168,1240,1408,1455,1525,1596,1736,1840,1968,2044,2269,2368,2492,2550,2656,2728
15,0,36,172,241,363,432,509,571,698,766,862,936,1027,1048,1100,1166,1334,1379,1597,1676,1851,1926,2098,2169,2284,2379
15,0,60,227,274,511,516,698,828,935,1012,1107,1178,1281,1328,1338,1434,1676,1677,1842,1929,2098,2170,2342,2396,2513,2578
15,0,0,129,184,315,385,455,527,672,745,861,942,1001,1047,1095,1167,1315,1385,1551,1615,1811,1879,2026,2125,2257,2309
15,0,1,1,43,209,274,345,425,544,639,729,812,853,922,993,1058,1216,1293,1477,1539,1714,1771,1889,1961,2091,2220
15,0,72,191,235,376,454,543,637,743,799,943,995,1039,1111,2295,2393,2607,2657,2839,2923,3086,3155,3322,3405,3492,3575
16,0,57,162,269,298,417,446,562,634,730,827,949,1096,1181,1323,1446,1550,1586,1614,1686,1780,1818,1819,1917,2013,2114
16,0,73,168,265,313,408,569,640,930,1048,1136,1271,1400,1498,1608,1720,1767,1854,1898,1944,1970,2040,2097,2184,2280,2400
16,0,72,228,301,360,456,625,690,834,904,1008,1144,1199,1294,1356,1472,1575,1669,1720,1787,1859,1904,1975,2064,2160,2283
16,0,86,200,292,375,452,620,686,760,856,954,1072,1293,1390,1552,1652,1754,1853,1896,2057,2120,2186,2187,2280,2384,2472
16,0,66,175,303,319,439,583,662,752,847,935,1049,1055,1181,1199,1331,1394,1466,1511,1599,1623,1719,1798,1882,1932,2033
16,0,80,192,289,360,457,524,592,684,784,882,1000,1049,1144,1216,1329,1493,1529,1529,1603,1648,1715,1751,1846,1926,2044
16,0,40,184,280,310,416,584,635,760,832,920,1016,1038,1138,1152,1283,1329,1396,1440,1536,1700,1786,1850,1913,1984,2104
16,0,55,178,268,336,462,605,672,768,857,962,1054,1123,1216,1312,1424,1571,1640,1690,1808,1832,1906,2093,2094,2137,2258
17,0,124,70,190,264,334,520,622,566,688,806,931,931,974,1070,1218,1158,1374,1304,1501,1543,1693,1617,1788,1695,1862
17,0,121,61,189,823,895,1063,1207,1135,1275,1375,1471,1471,1567,1631,1754,1703,1921,1871,1991,2117,2255,2190,2321,2255,2427
17,0,1,1,70,95,218,334,486,431,550,671,785,786,854,927,1009,1071,1224,1145,1298,1399,1566,1554,1663,1567,1735
17,0,1,1,88,424,503,1064,1187,1119,1242,1351,1446,1463,1519,1587,1705,1688,1850,1817,1950,2051,2187,2133,2301,2188,2350
17,0,115,91,213,259,355,713,851,786,958,1067,1164,1146,1241,1331,1467,1447,1659,1614,1731,1855,2047,1947,2113,2048,2214
17,0,137,96,185,313,362,673,849,830,930,1041,1162,1141,1234,1350,1473,1498,1666,1609,1751,1849,2017,1946,2081,2033,2165
17,0,3,1,3,3,19,402,570,478,611,776,915,1022,1090,1179,1275,1347,1541,1435,1555,1651,1844,1748,1915,1844,2036
17,0,119,96,226,264,339,665,816,814,887,991,1137,1114,1223,1525,1624,1663,1824,1782,1896,1991,2114,2047,2222,2114,2255
18,0,72,32,112,232,292,568,667,667,768,872,992,1024,1065,1223,1289,1328,1465,1440,1536,1875,1968,2040,2154,2200,2356
18,0,89,70,113,234,301,518,612,613,721,807,907,938,985,1304,1345,1422,1638,1549,1639,1798,1937,1913,2035,2117,2183
18,0,100,53,182,239,311,503,603,586,671,767,866,904,975,1119,1207,1215,1343,1344,1407,1472,1599,1639,1760,1855,1952
18,0,64,41,112,208,285,396,512,500,614,680,800,800,872,1032,1104,1128,1241,1274,1374,1416,1512,1572,1666,1745,1816
18,0,84,54,117,232,288,359,430,431,501,619,748,751,800,950,1018,1088,1172,1197,1362,1440,1560,1561,1683,1632,1740
18,0,89,41,137,233,305,380,490,491,564,706,777,801,853,1168,1231,1297,1397,1464,1542,1572,1728,1731,1849,1799,1896
18,0,47,23,95,215,280,319,419,420,482,647,762,918,977,1263,1359,1359,1457,1646,1758,1927,2046,2055,2182,2135,2230
18,0,23,1,71,167,251,335,431,432,519,621,715,759,837,1303,1381,1430,1471,1551,1615,1639,1735,1823,1983,1895,2015
19,0,86,55,149,196,318,397,598,492,604,675,796,835,919,996,1094,1155,1250,1319,1420,1484,1595,1621,1719,1887,1985
19,0,1,1,47,59,179,228,324,401,464,606,700,876,964,1101,1176,1298,1363,1459,1531,1659,1748,1842,1931,2092,2174
19,0,1,1,1,1,102,211,307,339,459,570,669,819,885,1140,1221,1337,1476,1522,1599,1709,1802,1881,2007,2118,2210
19,0,0,79,99,139,235,379,475,499,598,1222,1286,1404,1549,1731,1810,1905,1999,2085,2170,2251,2371,2422,2515,2661,2731
19,0,0,0,1,1,8,143,240,290,390,496,571,691,786,954,1026,1151,1207,1303,1380,1471,1592,1662,1726,1854,1944
19,0,1,1,81,90,197,293,391,437,558,741,822,933,1031,1200,1270,1357,1498,1581,1650,1741,1837,1885,2005,2113,2226
19,0,78,55,198,199,323,437,533,533,606,760,836,934,1041,1125,1220,1316,1420,1491,1573,1669,1790,1790,1920,2033,2122
19,0,1,1,1,2,2,2,4,14,83,221,318,434,532,700,804,882,978,1071,1170,1275,1364,1410,1505,1644,1737
20,0,73,245,316,432,528,928,1080,1024,1167,1280,1380,1480,1567,1747,1855,2067,2223,2135,2259,2327,2495,2423,2583,2729,2780
20,0,103,246,336,429,524,832,1052,953,1126,1353,1458,1592,1663,1760,1852,2136,2303,2187,2328,4320,4464,4368,4536,4650,4747
20,0,71,240,348,452,545,1028,1226,1111,1231,1404,1466,1543,1635,1711,1799,3561,3631,3935,4007,4561,4648,4863,4960,5079,5175
20,0,0,51,121,217,289,3077,3226,3153,3249,3392,3465,3614,3714,4553,4625,5361,5433,5865,5945,6265,6413,6351,6483,6601,6689
20,0,76,232,328,476,577,1064,1160,1217,1328,1477,1576,1646,1709,1848,1944,2228,2320,2584,2656,2984,3128,3056,3208,3308,3416
20,0,64,184,282,376,464,732,897,855,992,1093,1192,1260,1327,1428,1501,1727,1802,2092,2160,2419,2559,2488,2631,2728,2824
20,0,114,232,312,393,481,712,889,809,961,1048,1144,1264,1339,1448,1544,2031,2093,2280,2394,2640,2760,2693,2825,2925,3025
20,0,98,216,312,381,498,816,1009,928,1064,1196,1280,1472,1559,1616,1712,1928,2033,2233,2328,2592,2756,2680,2800,2872,2992
21,0,95,208,288,400,471,640,711,786,855,944,1017,1068,1135,1257,1327,1503,1567,1607,1729,1831,1921,1990,2045,2159,2258
21,0,103,253,272,382,487,614,718,762,854,932,1000,1046,1125,1216,1302,1422,1535,1572,1690,1782,1846,1918,2014,2134,2237
21,0,96,201,264,390,489,640,718,760,858,928,1024,1072,1144,1391,1457,1640,1737,1808,1929,2000,2072,2119,2191,2327,2376
21,0,95,228,291,434,508,663,760,855,977,1050,1122,1218,1291,1423,1525,1735,1810,1855,1975,2040,2173,2185,2285,2384,2454
21,0,105,196,265,400,482,649,715,761,832,907,1000,1064,1136,1210,1285,1424,1520,1549,1664,1754,1824,1850,1968,2046,2163
21,0,101,176,246,371,438,589,666,702,834,886,966,1033,1103,1271,1342,1502,1583,1629,1736,1795,1872,1911,2006,2102,2174
21,0,102,183,272,375,447,601,665,735,807,900,967,1048,1087,1184,1265,1367,1447,1487,1583,1656,1735,1806,1872,2000,2066
21,0,68,183,267,372,450,588,660,737,805,917,988,1060,1118,1254,1357,1492,1564,1618,1700,1773,1849,1917,2017,2132,2204
22,0,72,240,291,458,530,568,704,705,760,880,952,1011,1047,1101,1213,1304,1375,1448,1544,1706,1793,1795,1860,1993,2063
22,0,7,133,196,369,416,495,533,535,628,747,836,862,932,1049,1060,1196,1292,1373,1491,1572,1701,1668,1758,1860,1989
22,0,46,263,266,397,469,521,620,590,703,797,894,965,1020,1137,1233,1375,1472,1509,1605,1738,1851,1821,1920,2037,2109
22,0,62,224,294,509,566,678,773,955,1022,1151,1254,1391,1438,1501,1573,1722,1800,1861,1958,2038,2173,2157,2232,2373,2405
22,0,69,217,303,453,525,574,689,663,817,1033,1119,1318,1355,1385,1461,1594,1661,1758,1856,1997,2080,2048,2154,2282,2350
22,0,0,0,1,1,49,145,233,245,338,501,527,605,641,690,802,897,995,1046,1139,1239,1377,1370,1483,1545,1634
22,0,0,98,152,349,392,462,558,535,630,749,838,914,960,1022,1137,1249,1318,1358,1455,1551,1694,1667,1745,1862,1958
22,0,0,99,137,320,387,858,956,1003,1106,1230,1285,1355,1412,1453,1523,1643,1714,1778,1874,1970,2154,2144,2198,2297,2385
23,0,133,161,254,374,495,686,809,894,945,1158,1278,1405,1488,1654,1726,1918,2021,2159,2273,2414,2538,2678,2774,2936,3010
23,0,86,207,302,438,531,737,843,1005,1051,1201,1291,1315,1438,1582,1651,1839,1986,2209,2315,2494,2571,2715,2811,2939,3054
23,0,123,278,333,469,555,759,855,996,1095,1261,1359,1481,1540,1660,1733,1927,1997,2108,2204,2372,2444,2591,2687,2858,2964
23,0,87,205,302,422,477,612,708,845,943,1136,1209,1287,1372,1508,1604,1803,1868,2085,2172,2340,2428,2580,2659,2812,2908
23,0,105,157,274,346,468,634,706,868,968,1133,1247,1301,1373,1532,1604,1823,1913,2083,2178,2338,2410,2578,2673,2841,2953
23,0,109,232,366,400,479,613,712,869,968,1351,1450,1605,1726,1896,1995,2181,2277,2413,2510,2677,2749,2896,2995,3132,3221
23,0,84,180,327,395,477,652,748,960,1027,1198,1295,1462,1558,1700,1772,2019,2057,2202,2295,2458,2531,2668,2764,2916,3028
23,0,69,170,297,336,432,607,664,805,901,1212,1314,1565,1685,1767,1853,2064,2135,2499,2596,3866,3968,4110,4203,4765,4878
24,0,89,247,353,385,496,783,832,2260,2352,2746,2825,3467,3584,3625,3681,3936,4056,4322,4464,4769,4902,4987,5116,5117,5301
24,0,83,827,974,995,1117,1187,1283,1383,1509,1611,1683,2020,2115,2227,2347,2491,2587,2587,2659,2781,2873,3706,3819,3891,4039
24,0,70,217,311,353,442,584,710,751,874,1055,1168,1455,1513,1983,2134,2387,2504,2602,2726,2983,3103,3183,3246,3311,3436
24,0,72,222,336,362,483,636,695,712,832,976,1049,1163,1232,1496,1572,1712,1764,1800,1900,2168,2304,2376,2536,2563,2680
24,0,71,312,406,1829,1926,2063,2183,2160,2263,2560,2658,2829,2896,2896,3011,3079,3208,3309,3431,3607,3783,3784,3911,3911,4058
24,0,72,222,336,433,529,890,976,1099,1222,2072,2160,2392,2496,2526,2640,2687,2843,3256,3392,3490,3619,3873,4040,4010,4154
24,0,52,187,316,317,430,451,576,619,743,851,984,1019,1091,1092,1211,1262,1364,1441,1575,1611,1714,1761,1883,1971,2097
24,0,39,175,322,295,422,532,559,536,660,825,911,1127,1199,1986,2103,2199,2295,2395,2527,2911,3026,3095,3239,3264,3386
25,0,96,256,401,388,550,640,905,786,920,1106,1227,1256,1424,1728,1978,2040,2214,2414,2501,2584,2753,2978,3104,3255,3417
25,0,123,288,433,600,722,1003,1048,1310,1390,1532,1695,1729,1880,2232,2400,2776,2960,3076,3208,3280,3454,3560,3738,3827,3968
25,0,1,109,312,259,381,389,582,557,725,911,1025,1104,1256,1776,1850,2009,2191,2249,2405,2429,2631,2631,2765,3069,3193
25,0,97,379,457,440,591,591,761,648,895,954,1101,1101,1358,1736,1856,1976,2096,2202,2352,2376,2568,2592,2736,2903,2992
25,0,62,281,446,422,593,630,798,765,953,1323,1482,1486,1656,1750,1876,2043,2150,2283,2414,2390,2630,2629,2694,2853,2982
25,0,111,272,447,400,543,522,711,667,827,1191,1303,1365,1511,1862,1997,2111,2325,2343,2487,2489,2683,2775,3011,3205,3295
25,0,7,137,281,257,401,425,618,609,761,936,1053,1067,1209,1353,1479,1657,1872,1993,2129,2218,2372,2578,2686,2845,2961
